publicid,eventtype,origintime,modificationtime,longitude, latitude, magnitude, depth,magnitudetype,depthtype,evaluationmethod,evaluationstatus,evaluationmode,earthmodel,usedphasecount,usedstationcount,magnitudestationcount,minimumdistance,azimuthalgap,originerror,magnitudeuncertainty
2016p868409,,2016-11-17T07:28:35.668Z,2016-11-17T07:31:04.677Z,174.2807198,-41.77402041,3.066970583,9.921875,M,,NonLinLoc,,automatic,nz3drx,40,40,25,0.05464344121,143.4253943,1.119937701,0
2016p868401,,2016-11-17T07:24:14.331Z,2016-11-17T07:27:22.295Z,173.6865384,-42.52335622,3.228036158,28.4375,M,,NonLinLoc,,automatic,nz3drx,33,33,14,0.6540347729,161.4385324,1.499691024,0
2016p868399,,2016-11-17T07:23:30.986Z,2016-11-17T07:25:51.194Z,173.8806455,-42.16190303,3.028048935,24.6875,M,,NonLinLoc,,automatic,nz3drx,12,12,8,0.4452170354,160.6801329,0.546436557,0
2016p868394,,2016-11-17T07:20:50.039Z,2016-11-17T07:22:59.126Z,173.5219863,-42.22487332,2.765737766,24.6875,M,,NonLinLoc,,automatic,nz3drx,19,19,6,0.5741843226,145.3070843,0.8558382204,0
2016p868377,,2016-11-17T07:11:18.971Z,2016-11-17T07:14:18.232Z,173.2227705,-42.45149247,2.754291091,18.59375,M,,NonLinLoc,,automatic,nz3drx,14,14,5,0.534137581,146.848121,0.87475749,0
2016p868371,,2016-11-17T07:08:29.338Z,2016-11-17T07:11:04.172Z,174.1439441,-41.8609341,2.2729203,29.84375,M,,NonLinLoc,,automatic,nz3drx,14,14,7,0.1226083908,173.6160022,0.9032100177,0
2016p868369,,2016-11-17T07:07:09.514Z,2016-11-17T07:09:23.996Z,173.9831001,-41.85955987,2.400025668,20.46875,M,,NonLinLoc,,automatic,nz3drx,18,18,8,0.162970905,154.6343071,0.5304124457,0
2016p868363,,2016-11-17T07:04:13.650Z,2016-11-17T07:06:03.881Z,176.3937765,-40.72676566,2.045807899,11.09375,M,,NonLinLoc,,automatic,nz3drx,12,12,6,0.1192538709,195.9734655,0.2146966009,0
2016p868361,,2016-11-17T07:03:11.163Z,2016-11-17T07:05:59.957Z,173.550722,-42.00709754,2.859636522,15.78125,M,,NonLinLoc,,automatic,nz3drx,19,19,6,0.3797281931,151.9297509,1.014026392,0
2016p868357,,2016-11-17T07:00:47.551Z,2016-11-17T07:02:51.434Z,175.341011,-40.72375475,2.624011762,11.5625,M,,NonLinLoc,,automatic,nz3drx,11,11,7,0.1623470616,169.3865712,1.10715123,0
